id,ts,symbol,decision,setup,entry_price,tp1,tp2,sl,ai_score,flow_score,pre_score,oi_change,rs_1h,is_compressed,status,reason,probability,market_health,news_score,btc_regime,funding,exit_reason,pnl,pnl_pct,max_profit_pct,max_drawdown_pct,trade_state,exit_price,trigger_price,duration_minutes,outcome_trigger_hit,outcome_tp1_hit,outcome_tp2_hit,outcome_sl_hit,outcome_max_up_pct,outcome_max_down_pct,outcome_checked,outcome_trigger_min,outcome_tp1_min,outcome_tp2_min,outcome_sl_min,outcome_highest_price,outcome_lowest_price,outcome_status,first_tp_hit_time,last_update_time,outcome_mfe,outcome_mae,time_to_trigger_min,time_to_tp1_min,time_to_sl_min,shadow_rs,pnl_r,mfe_r,mae_r,exit_time,direction,shadow_tags,was_executed,execution_timestamp,actual_fill_price,execution_delay_sec,skip_reason,buy_intent_time,rs_bucket,ai_bucket,first_outcome_type,ambiguous_bar,entry_candle_ambiguous,pnl_pct_method,entry_slippage_pct,tp1_alert_sent,tp2_alert_sent,sl_alert_sent
288,2026-08-05T11:12:30.043587+00:00,GIGGLEUSDT,BUY,VWAP_RECLAIM,33.19,34.35165,35.8452,32.67524536,100.0,56.0,43.2,50.35,3.42,False,Pending ⏳,VWAP_RECLAIM trigger confirmed,59.9,46.4,37.0,RANGE,0.0,,,-0.3,0.0,0.0,ACTIVE,0.0,0.0,0,1,1,0,1,3.56,-1.96,0,0.0,0.0,,0.0,34.37,32.54,FINAL,18497.5,2026-08-18T13:14:49.137632,3.56,1.96,18517.5,18637.5,18497.5,UNKNOWN,,,,,LONG,[],0,,,,,,RS>1,AI_80_100,,0,0,,,0,0,0
289,2026-08-07T11:05:19.412600+00:00,BANKUSDT,BUY,DIP_BUY,0.0415,0.043575,0.047725,0.0410935,67.3,34.5,49.8,121.23,0.411,True,Pending ⏳,DIP_BUY trigger confirmed,55.6,46.8,39.0,RANGE,0.0,,,-0.98,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,1,0.0,-14.216867469879524,1,0.0,0.0,0.0,0.0,0.0,0.0,FINAL,0.0,2026-08-23T15:05:15.095226,0.0,14.216867469879524,0.0,0.0,0.0,UNKNOWN,-1.001,0.0,14.514,,LONG,[],0,,,,,,RS_0_0.5,AI_60_80,SL,0,0,simulated_v8.6,,0,0,0
290,2026-08-07T15:42:12.049101+00:00,XAIUSDT,BUY,DIP_BUY,0.00724,0.007602,0.008326,0.00703465,54.9,23.5,17.9,-33.17,0.168,False,Pending ⏳,DIP_BUY trigger confirmed,12.5,46.8,39.0,RANGE,0.0,,,0.69,0.0,0.0,ACTIVE,0.0,0.0,0,1,0,0,1,2.35,-6.91,0,0.0,0.0,,0.0,0.00741,0.00674,FINAL,15192.8,2026-08-18T13:14:49.141409,2.35,6.91,15542.8,,15192.8,UNKNOWN,,,,,LONG,[],0,,,,,,RS_0_0.5,AI_40_60,,0,0,,,0,0,0
291,2026-08-07T16:35:07.791130+00:00,BABYUSDT,BUY,DIP_BUY,0.01163,0.0122115,0.0133745,0.0114425,85.8,38.2,31.3,-32.41,0.449,False,Pending ⏳,DIP_BUY trigger confirmed,14.5,46.8,39.0,RANGE,0.0,,,3.353,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,3.9552880481513357,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,FINAL,0.0,2026-08-23T15:05:15.099898,3.9552880481513357,0.0,0.0,0.0,0.0,UNKNOWN,2.08,2.453,0.0,,LONG,[],0,,,,,,RS_0_0.5,AI_80_100,TIMEOUT,0,0,simulated_v8.6,,0,0,0
292,2026-08-07T19:19:16.487483+00:00,CCUSDT,BUY,DIP_BUY,0.093,0.09765,0.10695,0.09236585,63.6,16.6,38.5,-73.78,-0.157,True,Pending ⏳,DIP_BUY trigger confirmed,17.0,46.8,39.0,RANGE,0.0,,,19.727,0.0,0.0,ACTIVE,0.0,0.0,0,0,1,0,0,23.473118279569896,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,FINAL,0.0,2026-08-23T15:05:15.104539,23.473118279569896,0.0,0.0,0.0,0.0,UNKNOWN,28.929,34.423,0.0,,LONG,[],0,,,,,,RS<0,AI_60_80,TP1,0,0,simulated_v8.6,,0,0,0
293,2026-08-08T02:50:55.740598+00:00,CTSIUSDT,BUY,DIP_BUY,0.0253,0.026565,0.029095,0.0249745,52.1,33.1,35.3,25.79,0.796,False,Pending ⏳,DIP_BUY trigger confirmed,29.4,47.0,40.0,RANGE,0.0,,,-0.395,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,-0.39525691699604504,1,0.0,0.0,0.0,0.0,0.0,0.0,FINAL,0.0,2026-08-23T15:05:15.109206,0.0,0.39525691699604504,0.0,0.0,0.0,UNKNOWN,-0.307,0.0,0.307,,LONG,[],0,,,,,,RS_0.5_1,AI_40_60,TIMEOUT,0,0,simulated_v8.6,,0,0,0
294,2026-08-08T05:05:45.697303+00:00,ESPUSDT,BUY,DIP_BUY,0.06593,0.0692265,0.0758195,0.0649735,49.6,31.8,38.6,255.39,0.958,False,Pending ⏳,DIP_BUY trigger confirmed,25.4,47.0,40.0,RANGE,0.0,,,25.098,0.0,0.0,ACTIVE,0.0,0.0,0,0,1,0,0,30.122857576217204,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,FINAL,0.0,2026-08-23T15:05:15.114552,30.122857576217204,0.0,0.0,0.0,0.0,UNKNOWN,17.299,20.763,0.0,,LONG,[],0,,,,,,RS_0.5_1,AI_40_60,TP1,0,0,simulated_v8.6,,0,0,0
295,2026-08-08T08:09:43.597602+00:00,C98USDT,BUY,DIP_BUY,0.015,0.01575,0.01725,0.01459665,66.9,55.0,65.7,278.35,0.335,False,Pending ⏳,DIP_BUY trigger confirmed,29.0,47.0,40.0,RANGE,0.0,,,-0.267,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,-0.2666666666666674,1,0.0,0.0,0.0,0.0,0.0,0.0,FINAL,0.0,2026-08-23T15:05:15.119469,0.0,0.2666666666666674,0.0,0.0,0.0,UNKNOWN,-0.099,0.0,0.099,,LONG,[],0,,,,,,RS_0_0.5,AI_60_80,TIMEOUT,0,0,simulated_v8.6,,0,0,0
296,2026-08-08T22:14:39.853909+00:00,DEEPUSDT,BUY,DIP_BUY,0.017829,0.01872045,0.02050335,0.01765031,71.8,39.1,60.5,193.28,0.26,True,Pending ⏳,DIP_BUY trigger confirmed,52.5,47.0,40.0,RANGE,0.0,,,-1.002,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,1,0.0,-27.371136911772957,1,0.0,0.0,0.0,0.0,0.0,0.0,FINAL,0.0,2026-08-23T15:05:15.124198,0.0,27.371136911772957,0.0,0.0,0.0,UNKNOWN,-1.0,0.0,27.311,,LONG,[],0,,,,,,RS_0_0.5,AI_60_80,SL,0,0,simulated_v8.6,,0,0,0
297,2026-08-08T23:14:44.617454+00:00,ARCUSDT,BUY,DIP_BUY,0.06232,0.065436,0.071668,0.0608542,72.4,19.5,36.8,7.53,0.56,False,Pending ⏳,DIP_BUY trigger confirmed,20.6,47.0,40.0,RANGE,0.0,,,6.276,0.0,0.0,ACTIVE,0.0,0.0,0,0,1,0,0,6.594993581514766,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,FINAL,0.0,2026-08-23T15:05:15.128897,6.594993581514766,0.0,0.0,0.0,0.0,UNKNOWN,2.668,2.804,0.0,,LONG,[],0,,,,,,RS_0.5_1,AI_60_80,TP1,0,0,simulated_v8.6,,0,0,0
